Dagur;Tími;ID;Námskeið;Stofa;Bygging;Fjöldi;Lengd prófs;Heildarfjöldi;Hámarksfjöldi;Fjöldi námskeiða;Forgangur
5.12.2016;13:30;09812120166;NAR101G;Adalbygging;A050;20;3;;;;;
;;;;;A050;;;20;24;1;2
;;;;;A051;;;0;12;0;2
;;;;;A052;;;0;18;0;2
;;;;;A218;;;0;23;0;2
;;;;Adalbygging;;;;20;77;;;
;;;;;N130;;;0;20;0;2
5.12.2016;13:30;08126920166;UMV101M;Askja;N131;30;3;;;;;
;;;;;N131;;;30;30;1;2
;;;;Askja;;;;30;50;;;
5.12.2016;13:30;70206520166;HSP107G;Arnagardur;A201;41;2;;;;;
;;;;;A201;;;41;48;1;1
5.12.2016;13:30;05770120166;JAP102G;Arnagardur;A301;17;3;;;;;
5.12.2016;13:30;05070220166;LIS102G;Arnagardur;A301;21;3;;;;;
5.12.2016;13:30;05281020166;RUS106G;Arnagardur;A301;8;3;;;;;
;;;;;A301;;;46;48;3;1
5.12.2016;13:30;70620420166;LAN305G;Arnagardur;A304;12;3;;;;;
5.12.2016;13:30;04440920166;VID509G;Arnagardur;A304;14;3;;;;;
;;;;;A304;;;26;26;2;1
5.12.2016;13:30;70628720166;ISE308M;Arnagardur;A311;4;3;;;;;
5.12.2016;13:30;05772220166;JAP304G;Arnagardur;A311;11;3;;;;;
5.12.2016;13:30;05281020166;RUS106G;Arnagardur;A311;8;3;;;;;
;;;;;A311;;;23;24;3;1
;;;;Arnagardur;;;;136;146;;;
;;;;;E101C;;;0;12;0;3
5.12.2016;13:30;10060320166;FRG102G;Eirberg;E103C;35;2;;;;;
5.12.2016;13:30;70742420166;SJU509G;Eirberg;E103C;12;2;;;;;
;;;;;E103C;;;47;50;2;1
5.12.2016;13:30;11141220166;HJU702G;Eirberg;E201C;34;3;;;;;
;;;;;E201C;;;34;44;1;1
5.12.2016;13:30;10060320166;FRG102G;Eirberg;E203C;15;2;;;;;
5.12.2016;13:30;70742420166;SJU509G;Eirberg;E203C;15;2;;;;;
;;;;;E203C;;;30;50;2;1
;;;;Eirberg;;;;111;156;;;
;;;;Gimli;;;;0;0;;;
5.12.2016;13:30;05501520166;ISE305G;Haskolatorg;Ht102;29;3;;;;;
5.12.2016;13:30;10092220166;STJ317G;Haskolatorg;Ht102;12;3;;;;;
5.12.2016;13:30;04440920166;VID509G;Haskolatorg;Ht102;39;3;;;;;
;;;;;Ht102;;;80;80;3;1
5.12.2016;13:30;05290520166;SPA107G;Haskolatorg;Ht103;17;3;;;;;
5.12.2016;13:30;10092220166;STJ317G;Haskolatorg;Ht103;14;3;;;;;
5.12.2016;13:30;04440920166;VID509G;Haskolatorg;Ht103;21;3;;;;;
;;;;;Ht103;;;52;52;3;1
5.12.2016;13:30;70367820166;IDN113F;Haskolatorg;Ht104;17;3;;;;;
5.12.2016;13:30;10092220166;STJ317G;Haskolatorg;Ht104;12;3;;;;;
5.12.2016;13:30;04440920166;VID509G;Haskolatorg;Ht104;23;3;;;;;
;;;;;Ht104;;;52;52;3;1
5.12.2016;13:30;10590120166;OSS101F;Haskolatorg;Ht105;29;3;;;;;
5.12.2016;13:30;70055820166;STJ303M;Haskolatorg;Ht105;28;3;;;;;
5.12.2016;13:30;70768120166;TJO328G;Haskolatorg;Ht105;19;3;;;;;
;;;;;Ht105;;;76;80;3;1
;;;;Haskolatorg;;;;260;264;;;
5.12.2016;13:30;05000220166;ABF305G;Logberg;L102;11;3;;;;;
5.12.2016;13:30;70620420166;LAN305G;Logberg;L102;14;3;;;;;
;;;;;L102;;;25;25;2;1
